metric,paper_model,mean,std,n,aggregation_scope,run_ids
eval_drift_one_pass_candidate_valid_probability_mass,EOPKG,0.901,0.017,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_duplicate_candidate_count_max,GATv2,,,0,,
eval_drift_one_pass_duplicate_candidate_count_max,LSTM,,,0,,
eval_drift_one_pass_duplicate_candidate_count_max,EOPKG-WI,1.000,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_duplicate_candidate_count_max,EOPKG,1.000,0.000,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_impulse_activation_max_abs,GATv2,,,0,,
eval_drift_one_pass_impulse_activation_max_abs,LSTM,,,0,,
eval_drift_one_pass_impulse_activation_max_abs,EOPKG-WI,0.000,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
eval_drift_one_pass_impulse_activation_max_abs,EOPKG,5.465,0.549,5,last,210a1a668a5649d1b5ff4f4adc5fb93b;b03b8880277a467287a08bb2d2153b28;b739aca822a14a1cbd642cd4ac692d17;e53ccb9930de4f7bb9b8aac4b4105174;e61540633e6547ed8c59bb28154d4917
eval_drift_one_pass_impulse_activation_mean_abs,GATv2,,,0,,
eval_drift_one_pass_impulse_activation_mean_abs,LSTM,,,0,,
eval_drift_one_pass_impulse_activation_mean_abs,EOPKG-WI,0.000,0.000,5,last,090ed1f9329c470dacabe8e87cad00e7;431a79f4e8044d2987d5f97c90a221c6;52976b78cd13459d8aeef2428f0736f8;5f855ce1446645a4a4d52a5b3c12507f;edd97efded1f4ee08e676233e55461b9
